Activity Level,Health Condition,Meal Type,Dish Name,Calories (in g),Protein (in g),Diet Type,Budget,BMI Goal
Sedentary,Asthma,Breakfast,Greek Yogurt with Berries,250,12,Veg,Medium,Maintain BMI
Sedentary,Asthma,Dinner,Turkey Breast with Grilled Asparagus,500,30,Non-Veg,High,Increase BMI
Sedentary,Asthma,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,High,Maintain BMI
Sedentary,Asthma,Dinner,Grilled Chicken Salad,300,20,Non-Veg,Low,Maintain BMI
Sedentary,Asthma,Dinner,Vegetable Couscous,250,10,Veg,Low,Maintain BMI
Sedentary,Asthma,Dinner,Roasted Chicken with Sweet Potato,360,20,Non-Veg,Medium,Maintain BMI
Sedentary,Asthma,Dinner,Roasted Chicken with Sweet Potato,360,20,Non-Veg,Medium,Maintain BMI
Sedentary,Asthma,Lunch,Chicken Breast with Roasted Vegetables,550,28,Non-Veg,High,Increase BMI
Sedentary,Asthma,Lunch,Chickpea Spinach Curry,250,10,Veg,High,Maintain BMI
Sedentary,Asthma,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Asthma,Lunch,Palak Paneer with Chapati,380,16,Veg,Low,Maintain BMI
Sedentary,Asthma,Lunch,Chicken Soup with Whole Wheat Toast,350,20,Non-Veg,Medium,Maintain BMI
Sedentary,Asthma,Lunch,Chickpea Spinach Curry,250,10,Veg,Medium,Maintain BMI
Sedentary,Back Pain,Breakfast,Grilled Chicken and Spinach Wrap,400,22,Non-Veg,High,Increase BMI
Sedentary,Back Pain,Breakfast,Vegetable Couscous,250,10,Veg,High,Maintain BMI
Sedentary,Back Pain,Breakfast,Spinach and Cheese Omelette,270,14,Non-Veg,Low,Maintain BMI
Sedentary,Back Pain,Breakfast,Vegetable Couscous,250,10,Veg,Low,Maintain BMI
Sedentary,Back Pain,Breakfast,Smoked Salmon Bagel,350,18,Non-Veg,Medium,Maintain BMI
Sedentary,Back Pain,Breakfast,Mushroom Paneer Wrap,250,10,Veg,Medium,Maintain BMI
Sedentary,Back Pain,Dinner,Lobster Tail with Green Salad,600,28,Non-Veg,High,Increase BMI
Sedentary,Back Pain,Dinner,Quinoa Veg Pilaf,250,10,Veg,High,Maintain BMI
Sedentary,Back Pain,Dinner,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Back Pain,Dinner,Grilled Tofu Salad,280,15,Veg,Low,Maintain BMI
Sedentary,Back Pain,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Back Pain,Dinner,Tofu Stir-Fry with Broccoli,340,16,Veg,Medium,Maintain BMI
Sedentary,Back Pain,Lunch,Prawn Curry with Brown Rice,580,26,Non-Veg,High,Increase BMI
Sedentary,Back Pain,Lunch,Grilled Vegetable Sandwich,250,10,Veg,High,Maintain BMI
Sedentary,Back Pain,Lunch,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Back Pain,Lunch,Soya Chunk Curry with Brown Rice,400,18,Veg,Low,Increase BMI
Sedentary,Back Pain,Lunch,Grilled Fish with Quinoa Salad,420,22,Non-Veg,Medium,Increase BMI
Sedentary,Back Pain,Lunch,Mushroom Paneer Wrap,250,10,Veg,Medium,Maintain BMI
Sedentary,Constipation,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,High,Maintain BMI
Sedentary,Constipation,Breakfast,Berry Smoothie Bowl with Flaxseeds,290,9,Veg,High,Maintain BMI
Sedentary,Constipation,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Constipation,Breakfast,Papaya Smoothie with Flaxseeds,180,5,Veg,Low,Decrease BMI
Sedentary,Constipation,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Constipation,Breakfast,"High-Fiber Smoothie (Spinach, Apple, Flaxseeds)",220,6,Veg,Medium,Decrease BMI
Sedentary,Constipation,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,High,Maintain BMI
Sedentary,Constipation,Dinner,Lentil and Vegetable Casserole,470,22,Veg,High,Increase BMI
Sedentary,Constipation,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Constipation,Dinner,Masoor Dal Soup with Toasted Bread,250,10,Veg,Low,Maintain BMI
Sedentary,Constipation,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Constipation,Dinner,Vegetable Handvo (Gujarati Dish),320,8,Veg,Medium,Maintain BMI
Sedentary,Constipation,Lunch,Prawn Masala Curry,300,15,Non-Veg,High,Maintain BMI
Sedentary,Constipation,Lunch,Whole Wheat Pasta with Vegetables,520,16,Veg,High,Increase BMI
Sedentary,Constipation,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Constipation,Lunch,Rajma (Kidney Beans) with Brown Rice,390,14,Veg,Low,Maintain BMI
Sedentary,Constipation,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Constipation,Lunch,Vegetable and Lentil Soup with Toast,370,14,Veg,Medium,Maintain BMI
Sedentary,Diabetes,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,High,Maintain BMI
Sedentary,Diabetes,Breakfast,Greek Yogurt with Berries and Chia Seeds,280,15,Veg,High,Maintain BMI
Sedentary,Diabetes,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Diabetes,Breakfast,Besan (Gram Flour) Chilla,220,10,Veg,Low,Decrease BMI
Sedentary,Diabetes,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Diabetes,Breakfast,Quinoa Porridge with Nuts,300,10,Veg,Medium,Maintain BMI
Sedentary,Diabetes,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,High,Maintain BMI
Sedentary,Diabetes,Dinner,Zucchini Noodles with Tofu and Pesto,400,20,Veg,High,Increase BMI
Sedentary,Diabetes,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Diabetes,Dinner,Lauki (Bottle Gourd) Curry with Roti,260,7,Veg,Low,Maintain BMI
Sedentary,Diabetes,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Diabetes,Dinner,Bottle Gourd (Lauki) and Moong Dal,280,10,Veg,Medium,Maintain BMI
Sedentary,Diabetes,Lunch,Fish Tikka Platter,300,15,Non-Veg,High,Maintain BMI
Sedentary,Diabetes,Lunch,Grilled Tofu with Stir-Fried Vegetables,480,22,Veg,High,Increase BMI
Sedentary,Diabetes,Lunch,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Diabetes,Lunch,Mixed Vegetable Curry with Roti,360,11,Veg,Low,Maintain BMI
Sedentary,Diabetes,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Diabetes,Lunch,Stir-Fried Tofu with Vegetables,380,15,Veg,Medium,Maintain BMI
Sedentary,Fine,Breakfast,Fish Tikka Platter,300,15,Non-Veg,High,Maintain BMI
Sedentary,Fine,Breakfast,Protein Pancakes with Honey and Berries,400,18,Veg,High,Increase BMI
Sedentary,Fine,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Fine,Breakfast,Vegetable Sandwich with Hummus,260,9,Veg,Low,Maintain BMI
Sedentary,Fine,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Fine,Breakfast,Paneer Stuffed Paratha with Curd,400,14,Veg,Medium,Increase BMI
Sedentary,Fine,Dinner,Stuffed Bell Peppers with Chicken,540,27,Non-Veg,High,Increase BMI
Sedentary,Fine,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,High,Maintain BMI
Sedentary,Fine,Dinner,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Fine,Dinner,Lemon Rice with Vegetable Raita,320,9,Veg,Low,Maintain BMI
Sedentary,Fine,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Fine,Dinner,Dal Makhani with Brown Rice,420,14,Veg,Medium,Increase BMI
Sedentary,Fine,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,High,Maintain BMI
Sedentary,Fine,Lunch,Paneer Tikka with Quinoa Pulao,560,24,Veg,High,Increase BMI
Sedentary,Fine,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Fine,Lunch,Vegetable Pulao with Curd,380,12,Veg,Low,Maintain BMI
Sedentary,Fine,Lunch,Prawn Masala Curry,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Fine,Lunch,Paneer Tikka with Jeera Rice,450,20,Veg,Medium,Increase BMI
Sedentary,High BP,Breakfast,Avocado Toast with Smoked Salmon,320,18,Non-Veg,High,Maintain BMI
Sedentary,High BP,Breakfast,Mushroom Paneer Wrap,250,10,Veg,High,Maintain BMI
Sedentary,High BP,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Sedentary,High BP,Breakfast,Oats Porridge with Fruits,200,6,Veg,Low,Decrease BMI
Sedentary,High BP,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,High BP,Breakfast,Avocado Toast with Multigrain Bread,280,8,Veg,Medium,Maintain BMI
Sedentary,High BP,Dinner,Steamed Fish with Broccoli and Sweet Potato,420,26,Non-Veg,High,Increase BMI
Sedentary,High BP,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,High,Maintain BMI
Sedentary,High BP,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Sedentary,High BP,Dinner,Vegetable Dalia (Broken Wheat),250,8,Veg,Low,Maintain BMI
Sedentary,High BP,Dinner,Fish Tikka Platter,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,High BP,Dinner,Grilled Veggie Bowl with Couscous,300,9,Veg,Medium,Maintain BMI
Sedentary,High BP,Lunch,Grilled Salmon with Quinoa Salad,550,30,Non-Veg,High,Increase BMI
Sedentary,High BP,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,High,Maintain BMI
Sedentary,High BP,Lunch,Brown Rice with Grilled Fish and Salad,360,16,Non-Veg,Low,Maintain BMI
Sedentary,High BP,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Sedentary,High BP,Lunch,Grilled Chicken with Steamed Veggies,400,25,Non-Veg,Medium,Increase BMI
Sedentary,High BP,Lunch,Chickpea Spinach Curry,250,10,Veg,Medium,Maintain BMI
Sedentary,Low BP,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,High,Maintain BMI
Sedentary,Low BP,Breakfast,Almond Butter Banana Smoothie,350,12,Veg,High,Maintain BMI
Sedentary,Low BP,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Low BP,Breakfast,Peanut Butter Banana Toast,250,8,Veg,Low,Maintain BMI
Sedentary,Low BP,Breakfast,Egg and Cheese Sandwich,320,15,Non-Veg,Medium,Maintain BMI
Sedentary,Low BP,Breakfast,Chickpea Spinach Curry,250,10,Veg,Medium,Maintain BMI
Sedentary,Low BP,Dinner,Grilled Lamb Chops with Couscous,650,32,Non-Veg,High,Increase BMI
Sedentary,Low BP,Dinner,Grilled Vegetable Sandwich,250,10,Veg,High,Maintain BMI
Sedentary,Low BP,Dinner,Scrambled Eggs with Chapati,280,14,Non-Veg,Low,Maintain BMI
Sedentary,Low BP,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Sedentary,Low BP,Dinner,Egg Fried Rice with Veggies,400,14,Non-Veg,Medium,Increase BMI
Sedentary,Low BP,Dinner,Quinoa Veg Pilaf,250,10,Veg,Medium,Maintain BMI
Sedentary,Low BP,Lunch,Lamb Stew with Whole Wheat Bread,600,32,Non-Veg,High,Increase BMI
Sedentary,Low BP,Lunch,Vegetable Couscous,250,10,Veg,High,Maintain BMI
Sedentary,Low BP,Lunch,Chicken Curry with Steamed Rice,400,18,Non-Veg,Low,Increase BMI
Sedentary,Low BP,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Sedentary,Low BP,Lunch,Butter Chicken with Brown Rice,500,28,Non-Veg,Medium,Increase BMI
Sedentary,Low BP,Lunch,Vegetable Couscous,250,10,Veg,Medium,Maintain BMI
Sedentary,Migraine,Breakfast,Smoked Turkey and Veggie Omelette,370,21,Non-Veg,High,Maintain BMI
Sedentary,Migraine,Breakfast,Mushroom Paneer Wrap,250,10,Veg,High,Maintain BMI
Sedentary,Migraine,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Migraine,Breakfast,Poha with Peanuts and Veggies,240,6,Veg,Low,Decrease BMI
Sedentary,Migraine,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Migraine,Breakfast,Peanut Butter Oatmeal,280,10,Veg,Medium,Maintain BMI
Sedentary,Migraine,Dinner,Grilled Sea Bass with Quinoa,550,29,Non-Veg,High,Increase BMI
Sedentary,Migraine,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,High,Maintain BMI
Sedentary,Migraine,Dinner,Baked Fish with Vegetables,280,18,Non-Veg,Low,Maintain BMI
Sedentary,Migraine,Dinner,Grilled Vegetable Sandwich,250,10,Veg,Low,Maintain BMI
Sedentary,Migraine,Dinner,Baked Chicken with Spinach Rice,380,22,Non-Veg,Medium,Maintain BMI
Sedentary,Migraine,Dinner,Grilled Vegetable Sandwich,250,10,Veg,Medium,Maintain BMI
Sedentary,Migraine,Lunch,Tuna Salad with Avocado,530,27,Non-Veg,High,Increase BMI
Sedentary,Migraine,Lunch,Quinoa Veg Pilaf,250,10,Veg,High,Maintain BMI
Sedentary,Migraine,Lunch,Quinoa Salad with Grilled Chicken,370,20,Non-Veg,Low,Maintain BMI
Sedentary,Migraine,Lunch,Grilled Vegetable Sandwich,250,10,Veg,Low,Maintain BMI
Sedentary,Migraine,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Migraine,Lunch,Chickpea and Avocado Wrap,360,12,Veg,Medium,Maintain BMI
Lightly Active,Arthritis,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Arthritis,Breakfast,Buckwheat Pancakes with Honey,370,12,Veg,High,Maintain BMI
Lightly Active,Arthritis,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Arthritis,Breakfast,Vegetable Dalia,240,7,Veg,Low,Decrease BMI
Lightly Active,Arthritis,Breakfast,Prawn Masala Curry,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Arthritis,Breakfast,Vegetable Quinoa Pulao,300,10,Veg,Medium,Maintain BMI
Lightly Active,Arthritis,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Arthritis,Dinner,Creamy Mushroom and Spinach Risotto,550,20,Veg,High,Increase BMI
Lightly Active,Arthritis,Dinner,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Arthritis,Dinner,Vegetable Oats Khichdi,270,9,Veg,Low,Decrease BMI
Lightly Active,Arthritis,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Arthritis,Dinner,Mushroom Risotto with Mixed Greens,480,18,Veg,Medium,Increase BMI
Lightly Active,Arthritis,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Arthritis,Lunch,Buckwheat Pancakes with Mixed Nuts,500,20,Veg,High,Increase BMI
Lightly Active,Arthritis,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Arthritis,Lunch,Vegetable Khichdi,370,9,Veg,Low,Decrease BMI
Lightly Active,Arthritis,Lunch,Prawn Masala Curry,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Arthritis,Lunch,Grilled Vegetable and Chickpea Salad,500,19,Veg,Medium,Increase BMI
Lightly Active,Asthma,Breakfast,Chicken Sausage and Scrambled Eggs,450,23,Non-Veg,High,Increase BMI
Lightly Active,Asthma,Breakfast,Quinoa Veg Pilaf,250,10,Veg,High,Maintain BMI
Lightly Active,Asthma,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Asthma,Breakfast,Vegetable Sandwich,270,8,Veg,Low,Decrease BMI
Lightly Active,Asthma,Breakfast,Boiled Egg and Veggie Sandwich,330,16,Non-Veg,Medium,Maintain BMI
Lightly Active,Asthma,Breakfast,Chickpea Spinach Curry,250,10,Veg,Medium,Decrease BMI
Lightly Active,Asthma,Dinner,Roasted Chicken with Steamed Broccoli,550,32,Non-Veg,High,Increase BMI
Lightly Active,Asthma,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,High,Decrease BMI
Lightly Active,Asthma,Dinner,Grilled Chicken Salad,300,20,Non-Veg,Low,Maintain BMI
Lightly Active,Asthma,Dinner,Quinoa Veg Pilaf,250,10,Veg,Low,Decrease BMI
Lightly Active,Asthma,Dinner,Turkey Breast with Grilled Asparagus,500,30,Non-Veg,Medium,Increase BMI
Lightly Active,Asthma,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,Medium,Decrease BMI
Lightly Active,Asthma,Lunch,Grilled Chicken with Steamed Vegetables,600,35,Non-Veg,High,Increase BMI
Lightly Active,Asthma,Lunch,Grilled Vegetable Sandwich,250,10,Veg,High,Decrease BMI
Lightly Active,Asthma,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Asthma,Lunch,Palak (Spinach) and Paneer,380,16,Veg,Low,Maintain BMI
Lightly Active,Asthma,Lunch,Chicken Breast with Roasted Vegetables,550,28,Non-Veg,Medium,Increase BMI
Lightly Active,Asthma,Lunch,Chickpea Spinach Curry,250,10,Veg,Medium,Decrease BMI
Lightly Active,Back Pain,Breakfast,Prawn Stir-fry Wrap,420,24,Non-Veg,High,Increase BMI
Lightly Active,Back Pain,Breakfast,Tofu Stir-Fry Bowl,250,10,Veg,High,Decrease BMI
Lightly Active,Back Pain,Breakfast,Egg Bhurji with Toast,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Back Pain,Breakfast,Vegetable Couscous,250,10,Veg,Low,Decrease BMI
Lightly Active,Back Pain,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Back Pain,Breakfast,Soya Chunk Upma,320,17,Veg,Medium,Maintain BMI
Lightly Active,Back Pain,Dinner,Lobster with Grilled Asparagus,700,45,Non-Veg,High,Increase BMI
Lightly Active,Back Pain,Dinner,Chickpea Spinach Curry,250,10,Veg,High,Decrease BMI
Lightly Active,Back Pain,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Back Pain,Dinner,Grilled Tofu Salad,280,15,Veg,Low,Maintain BMI
Lightly Active,Back Pain,Dinner,Lobster Tail with Green Salad,600,28,Non-Veg,Medium,Increase BMI
Lightly Active,Back Pain,Dinner,Quinoa Veg Pilaf,250,10,Veg,Medium,Decrease BMI
Lightly Active,Back Pain,Lunch,Grilled Prawns with Rice,680,38,Non-Veg,High,Increase BMI
Lightly Active,Back Pain,Lunch,Chickpea Spinach Curry,250,10,Veg,High,Decrease BMI
Lightly Active,Back Pain,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Back Pain,Lunch,Tofu Stir-fry with Brown Rice,420,20,Veg,Low,Maintain BMI
Lightly Active,Back Pain,Lunch,Prawn Curry with Brown Rice,580,26,Non-Veg,Medium,Increase BMI
Lightly Active,Back Pain,Lunch,Grilled Vegetable Sandwich,250,10,Veg,Medium,Decrease BMI
Lightly Active,Constipation,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Constipation,Breakfast,Avocado Smoothie with Chia,370,10,Veg,High,Maintain BMI
Lightly Active,Constipation,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Constipation,Breakfast,Banana Oats Smoothie,230,6,Veg,Low,Decrease BMI
Lightly Active,Constipation,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Constipation,Breakfast,Yogurt with Chia and Berries,280,11,Veg,Medium,Maintain BMI
Lightly Active,Constipation,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Constipation,Dinner,Vegetable Biryani with Yogurt,580,18,Veg,High,Increase BMI
Lightly Active,Constipation,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Constipation,Dinner,Masoor Dal Soup with Toasted Bread,250,10,Veg,Low,Decrease BMI
Lightly Active,Constipation,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Constipation,Dinner,Lentil and Vegetable Casserole,470,22,Veg,Medium,Increase BMI
Lightly Active,Constipation,Lunch,Prawn Masala Curry,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Constipation,Lunch,Avocado and Chickpea Salad,520,18,Veg,High,Increase BMI
Lightly Active,Constipation,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Constipation,Lunch,Rajma (Kidney Beans) with Rice,410,15,Veg,Low,Maintain BMI
Lightly Active,Constipation,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Constipation,Lunch,Whole Wheat Pasta with Vegetables,520,16,Veg,Medium,Increase BMI
Lightly Active,Diabetes,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Diabetes,Breakfast,Greek Yogurt Parfait with Nuts,380,17,Veg,High,Increase BMI
Lightly Active,Diabetes,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Diabetes,Breakfast,Moong Dal Chilla,260,11,Veg,Low,Decrease BMI
Lightly Active,Diabetes,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Diabetes,Breakfast,Besan Cheela with Paneer Filling,310,14,Veg,Medium,Maintain BMI
Lightly Active,Diabetes,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Diabetes,Dinner,Cauliflower Rice with Tofu Stir Fry,390,20,Veg,High,Increase BMI
Lightly Active,Diabetes,Dinner,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Diabetes,Dinner,Lauki (Bottle Gourd) Curry with Roti,260,7,Veg,Low,Decrease BMI
Lightly Active,Diabetes,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Diabetes,Dinner,Zucchini Noodles with Tofu and Pesto,400,20,Veg,Medium,Increase BMI
Lightly Active,Diabetes,Lunch,Fish Tikka Platter,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Diabetes,Lunch,Grilled Tofu with Stir-Fried Vegetables,480,25,Veg,High,Increase BMI
Lightly Active,Diabetes,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Diabetes,Lunch,Mixed Vegetable Sabzi with Roti,350,12,Veg,Low,Maintain BMI
Lightly Active,Diabetes,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Diabetes,Lunch,Grilled Tofu with Stir-Fried Vegetables,480,22,Veg,Medium,Increase BMI
Lightly Active,Fine,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Fine,Breakfast,Protein Waffles with Maple Syrup,450,20,Veg,High,Increase BMI
Lightly Active,Fine,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Fine,Breakfast,Vegetable Paratha with Curd,320,10,Veg,Low,Maintain BMI
Lightly Active,Fine,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Fine,Breakfast,Grilled Cheese and Tomato Sandwich,360,15,Veg,Medium,Maintain BMI
Lightly Active,Fine,Dinner,Chicken Shawarma with Hummus,650,38,Non-Veg,High,Increase BMI
Lightly Active,Fine,Dinner,Vegetable Couscous,250,10,Veg,High,Decrease BMI
Lightly Active,Fine,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Fine,Dinner,Paneer Tikka with Chapati,320,20,Veg,Low,Maintain BMI
Lightly Active,Fine,Dinner,Stuffed Bell Peppers with Chicken,540,27,Non-Veg,Medium,Increase BMI
Lightly Active,Fine,Dinner,Chickpea Spinach Curry,250,10,Veg,Medium,Decrease BMI
Lightly Active,Fine,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Fine,Lunch,Spicy Paneer and Vegetable Skewers,600,25,Veg,High,Increase BMI
